ImageName,Algorithm,BaselinePower,OptimizedPower,PowerSaved_Pct,SSIM,Runtime_Sec
kodim09t.jpg,PSO,0.404778434953585+1.08539010523551e-05i,0.250267082018485,38.1718342116628+0.00165788672460323i,0.947208341367756,44.58607975
kodim09t.jpg,ACO,0.404778434953585+1.08539010523551e-05i,0.121992192201675,69.8619833519665+0.00080813359202176i,0.686178805523395,48.3197689583333
kodim09t.jpg,CSA,0.404778434953585+1.08539010523551e-05i,0.221934351235214,45.1713994839946+0.00147019740542272i,0.916676819526516,94.665512
kodim10t.jpg,EGDIO,0.38166607934931+1.09852002907045e-05i,0.240846007384045,36.8961455534285+0.00181626955529525i,0.948827922250631,47.2013122916667
kodim10t.jpg,PSO,0.38166607934931+1.09852002907045e-05i,0.239210069595156,37.3247762010153+0.00180393261007208i,0.947500053498267,43.9013880833333
kodim10t.jpg,ACO,0.38166607934931+1.09852002907045e-05i,0.109892941293805,71.207045333942+0.000828725399194674i,0.629180945193615,48.521188125
kodim10t.jpg,CSA,0.38166607934931+1.09852002907045e-05i,0.254479840128563,33.3239568075836+0.00191908510787516i,0.954653413689045,94.0108788333333
kodim11t.jpg,EGDIO,0.325834123001884+1.13912013045728e-05i,0.220146824187745,32.4359211090342+0.00236204856788613i,0.959529564632912,47.7732160416667
kodim11t.jpg,PSO,0.325834123001884+1.13912013045728e-05i,0.208756041938982,35.9318048826239+0.00223983203809032i,0.947786139615502,44.890114
kodim11t.jpg,ACO,0.325834123001884+1.13912013045728e-05i,0.180828319591468,44.502952083563+0.00194018367014925i,0.869494735603618,48.2288076666667
kodim11t.jpg,CSA,0.325834123001884+1.13912013045728e-05i,0.219227585164622,32.7180398182506+0.00235218566286298i,0.929368465854499,95.1623593333333
kodim12t.jpg,EGDIO,0.481101381947427+1.15162173250193e-05i,0.302396560067902,37.1449404966213+0.00150457378086897i,0.950427460633639,46.8393912083333
kodim12t.jpg,PSO,0.481101381947427+1.15162173250193e-05i,0.299916392190889,37.6604592560048+0.00149223370808815i,0.94867077970148,45.188109625
kodim12t.jpg,ACO,0.481101381947427+1.15162173250193e-05i,0.181984169170947,62.1734262474934+0.000905462050912045i,0.574862674993168,48.0519542916667
kodim12t.jpg,CSA,0.481101381947427+1.15162173250193e-05i,0.314853342200921,34.5557186416647+0.00156655248785932i,0.953660630648608,94.174916875
kodim13t.jpg,EGDIO,0.351509658675144+1.128411343447e-05i,0.232190794392069,33.9446901607406+0.00212049823036049i,0.954591737164102,47.5374689166667
kodim13t.jpg,PSO,0.351509658675144+1.128411343447e-05i,0.226045014194789,35.6930859840903+0.00206437147448871i,0.94853802290763,44.4976014166667
kodim13t.jpg,ACO,0.351509658675144+1.128411343447e-05i,0.141779840191111,59.6654497121423+0.00129481403865817i,0.696897681912338,48.7892685833333
kodim13t.jpg,CSA,0.351509658675144+1.128411343447e-05i,0.280576124351753,20.1796829367036+0.0025623805488372i,0.958223324855753,95.5485734583333
kodim14t.jpg,EGDIO,0.330114902071729+1.1707185652623e-05i,0.223859434940614,32.1874192124699+0.00240490346809793i,0.959648320512239,48.36027675
kodim14t.jpg,PSO,0.330114902071729+1.1707185652623e-05i,0.212294892896284,35.6906061201826+0.00228066654559899i,0.947880118081874,46.0262030416667
kodim14t.jpg,ACO,0.330114902071729+1.1707185652623e-05i,0.19776349865335,40.0925262193548+0.00212455697433879i,0.928537623504069,49.364012625
kodim14t.jpg,CSA,0.330114902071729+1.1707185652623e-05i,0.243328565750107,26.2897361140023+0.00261405873652351i,0.973482605766201,95.7581451666667
